Carspaces,Bathrooms,Bedrooms,Address,Price,Type,Date_time,Date,Area,Name
2,1,3,"524 Heidelberg Road, Alphington","$1,400,000",House,,,727m²,Stefan Dzanovski
2,2,3,"1/251 Riversdale Road, Hawthorn East",,Townhouse,,,,Linda Pan
4,3,4,"9 Richards Avenue, Glen Iris","$4,500,000",House,,,,Jesse Matthews
4,2,4,"11 Lemana Crescent, Mount Waverley",,House,Inspection Wed 17 Sep 3:00 pm,Inspection Wed 17 Sep,,Sim Gandhi
,,,,,,,,,
1,1,1,"B007/12 Albert Street, Hawthorn East","$359,000 contact for inspection",Apartment,,,,Adrian D'Aprano
1,2,3,"2/45 Osborne Avenue, Glen Iris","$1,050,000 - $1,150,000",Townhouse,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,,Peter Daicos
2,2,3,"2/902 Burke Road, Canterbury","$1,998,000 - $2,098,000",Townhouse,,,223m²,Joo Ming Lim
1,2,2,"204/979 Heidelberg Road, Ivanhoe","$650,000 - $695,000",Apartment,Inspection Wed 17 Sep 1:15 pm,Inspection Wed 17 Sep,,Stefan Bontempelli
1,2,4,"12 Connell Street, Hawthorn","$3,500,000 - $3,850,000",House,,,456m²,Lloyd Lawton
,,,,,,,,,
1,1,1,"102/160 Union Road, Surrey Hills","$380,000 - $410,000",Unit,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,Troy Rendle
1,1,1,"207/770B Toorak Road, Glen Iris","$425,000",Apartment,,,,Jacqui French
8,7,5,"43 Campbell Road, Deepdene","$11,500,000- $12,650,000",House,Inspection Thu 18 Sep 10:00 am,Inspection Thu 18 Sep,"1,011.68m²",Annabelle Feng
1,2,2,"20/2 New Street, Richmond",,House,,,,Matthew Coombs
1,2,3,"204/436 Burke Road, Camberwell",,Apartment,,,,Andy Zhang
,,,,,,,,,
1,2,2,"202/117 Croydon Road, Surrey Hills","$749,000",Apartment,,,,Mark Fletcher
2,2,3,"3/103 Lucerne Crescent, Alphington","Auction $1,800,000 - $1,900,000",House,Inspection Wed 17 Sep 12:30 pm,Inspection Wed 17 Sep,,Matthew Akritidis
1,1,1,"11/5 McGrath Court, Richmond","$290,000 - $319,000",Apartment,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,Ken Griffith
2,2,4,"26 Malvern Avenue, Glen Iris","$3,250,000",House,,,868m²,Jesse Matthews
2,8,8,"2 Alba Street, Frankston North","$1,630,000",House,,,613m²,Joe Bonifazio
,,,,,,,,,
4,,5,"2 Dudley Parade, Canterbury","$4,850,000 - $5,300,000 EOI close 16 Sept at 5pm",House,,,"1,400m²",Walter Dodich
,,,,,,,,,
2,,5,"65 Morang Road, Hawthorn","$3,700,000 - $4,000,000",House,Inspection Wed 17 Sep 2:00 pm,Inspection Wed 17 Sep,"1,060m²",Luke Schickerling
1,1,1,"2/109 Mary Street, Richmond","$330,000 - $350,000",Apartment,Inspection Wed 17 Sep 12:00 pm,Inspection Wed 17 Sep,,Daniel Finlayson
2,,2,"G02/111 Parkview Road, Alphington","$695,000 - $735,000",Apartment,,,86m²,Leigh Chant
2,1,2,"104/567 Glenferrie Road, Hawthorn",THE DEAL: $590K - $640K,Apartment,,,,Joseph Falso
,,,,,,,,,
3,,3,"501/8 New Street, Richmond","$2,300,000 - $2,530,000",Apartment,Inspection Wed 17 Sep 1:30 pm,Inspection Wed 17 Sep,161m²,Kylie Harrigan
,1,2,"2 Peers Street, Richmond","$1,100,000- $1,200,000",House,,,100m²,Phuc Le
4,2,5,"287 Elgar Road, Surrey Hills","$1,650,000 - $1,800,000",House,Inspection Sat 20 Sep 10:00 am,Inspection Sat 20 Sep,741m²,Spring Chen
1,2,2,"205B/200 Burwood Road, Hawthorn","$690,000 to $730,000",Apartment,,,,Tony Afif
1,2,3,"2 Bosisto Street, Richmond","Expressions of Interest $1,600,000 - $1,700,000",House,Inspection Wed 17 Sep 12:30 pm,Inspection Wed 17 Sep,,Elliot Gill
,,,,,,,,,
2,1,3,"146 Banksia Street, Ivanhoe",,House,,,801m²,Mario Butera
,1,2,"6/11 Flockhart Street, Abbotsford",,Apartment,,,55.3m²,Jay Bear
2,2,3,"1/282 Middleborough Road, Blackburn South",,Unit,Inspection Thu 18 Sep 1:30 pm,Inspection Thu 18 Sep,332m²,Daphne Lai
1,2,2,"102/1377 Burke Road, Kew East","$570,000 - $610,000",Apartment,Inspection tomorrow 5:00 pm,Inspection tomorrow,,Lili Read
2,4,3,"6/2-4 Doynton Parade, Mount Waverley",,Townhouse,,,,Leo Li
,,,,,,,,,
1,2,3,"149 Park Street, Abbotsford","Auction $1,250,000 - $1,350,000",Townhouse,Inspection Thu 18 Sep 12:30 pm,Inspection Thu 18 Sep,,Roland Paterson
1,1,2,"2/37 Yambla Street, Clifton Hill","Private Sale $715,000",Unit,,,,Henry Rutherfurd
2,,4,"11 Carrigal Street, Balwyn","Asking: $2,590,000",House,Inspection Sat 20 Sep 12:30 pm,Inspection Sat 20 Sep,736m²,Alvy Buffon
1,2,2,"2/88 Broughton Road, Surrey Hills","Private Sale | $750,000 - $795,000",Apartment,,,,Steven Zarokostas
2,2,3,"2/32 Clifton Road, Hawthorn East","$1,500,000 - $1,600,000",House,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,Kate Hurburgh
,,,,,,,,,
1,2,2,"4/538 Nepean Highway, Bonbeach","$775,000 - $840,000",Townhouse,,,,Natalie Lazaridou
2,2,3,"33 Beckwith Avenue, Alphington","Private Sale $1,750,000 to $1,800,000",House,,,,Ellie Gong
1,1,2,"403/8 New Street, Richmond","$550,000 - $595,000",Apartment,Inspection Sat 20 Sep 11:15 am,Inspection Sat 20 Sep,,River Perry
,1,3,"57 Alexander Street, Clifton Hill","Auction $1,700,000 - $1,800,000",House,Inspection Thu 18 Sep 3:45 pm,Inspection Thu 18 Sep,,Roland Paterson
1,1,2,"4/32 Davison Street, Richmond","$490,000 - $515,000",Apartment,,,,Alexander Subotsch
,,,,,,,,,
,1,2,"Unit 206/28 Queens Avenue, Hawthorn","$245,000",Apartment,,,,Jackie Lin
,,,,,,,,,
1,1,2,"5/30 Ross Street, Northcote","Private Sale $550,000",Apartment,Inspection Thu 18 Sep 5:30 pm,Inspection Thu 18 Sep,,Alex Leonard
2,2,3,"37 Wharton Street, Surrey Hills","$2,200,000 - $2,400,000",House,Inspection Thu 18 Sep 4:30 pm,Inspection Thu 18 Sep,686m²,Helen Yan
1,1,1,"121/311 Burwood Road, Hawthorn",,Apartment,,,,Joe Bonifazio
6,,5,"14 Elliott Avenue, Balwyn",,House,Inspection Thu 18 Sep 11:00 am,Inspection Thu 18 Sep,659m²,Elsa Li
,,,,,,,,,
1,2,2,"310/1 Bent Street, Northcote","Private Sale - $629,500",Apartment,Inspection Wed 17 Sep 5:30 pm,Inspection Wed 17 Sep,,John Bisignano
1,1,1,"109/178 Union Road, Surrey Hills",,Apartment,,,,Brett Philipp
1,2,2,"603/609 Victoria Street, Abbotsford","$599,000",Unit,,,,John Costanzo
1,1,1,"308/436 Burke Road, Camberwell","$420,000 - $460,000",Apartment,,,46m²,Brendan Cain
1,1,1,"6/32 Davison Street, Richmond","$295,000 - $324,500",Apartment,,,,Aarryn Cooper
,,,,,,,,,
5,1,4,"256 Balwyn Road, Balwyn North","$2,750,000",House,,,"1,012m²",Daiman Kane
1,2,2,"311/45 Linden Avenue, Ivanhoe","Asking $575,000",Apartment,Inspection Sat 20 Sep 12:30 pm,Inspection Sat 20 Sep,,Christopher Macey
2,2,3,"1/33-35 Iris Road, Glen Iris","$1,400,000-$1,500,000",House,,,,John Manton
2,2,4,"12 Howard Street, Box Hill",,House,,,743m²,Andy Zeng
1,1,1,"509/377 BURWOOD ROAD, Hawthorn","$320,000 - $350,000",Apartment,,,,Eric Kuan
,,,,,,,,,
2,3,4,"1/20 Kelvinside St, Balwyn North","$1,400,000-$1,450,000",Townhouse,Inspection Thu 18 Sep 4:30 pm,Inspection Thu 18 Sep,167.23m²,Jimmy Wang
1,1,1,"18/244 Mary Street, Richmond","$330,000 - $360,000",Apartment,Inspection Wed 17 Sep 3:00 pm,Inspection Wed 17 Sep,,Jay Bear
2,2,3,"144 Banksia Street, Ivanhoe",,House,,,751m²,Mario Butera
2,2,4,"9 George Street, Camberwell","$2,450,000",House,Inspection Thu 18 Sep 11:00 am,Inspection Thu 18 Sep,697m²,Duane Wolowiec
2,,3,"22 College Street, Hawthorn",,House,,,,Walter Dodich
,,,,,,,,,
1,2,2,"401/17 Robbs Parade, Northcote",,Unit,,,,Anthony Vicino
2,2,4,"431 Stephensons Road, Mount Waverley","$1,250,000",Townhouse,,,231m²,Tony Kwan
4,4,7,"308-310 Riversdale Road, Hawthorn East","$3,800,000 - $4,180,000",House,Inspection Thu 18 Sep 4:00 pm,Inspection Thu 18 Sep,924m²,Elsa Li
1,2,2,"409/33 Harrow Street, Box Hill",,Apartment,,,,Tony Huang
2,2,2,"104/65 Maitland Street, Glen Iris","Expressions of Interest $1,550,000 - $1,700,000",Apartment,,,,Charles Boyd
,,,,,,,,,
2,1,2,"30 Portland Parade, Seaford","$900,000-$990,000",House,Inspection Thu 18 Sep 5:30 pm,Inspection Thu 18 Sep,527m²,Daniel Keleher
,,,,,,,,,
2,3,4,"1/3 Barry Street, Seaford","$840,000-$895,000",Townhouse,Inspection Wed 17 Sep 5:00 pm,Inspection Wed 17 Sep,,Daniel Keleher
2,3,3,"2,3,4/156 Fortescue Avenue, Seaford","$1,150,000 - $1,250,000",Townhouse,,,,Sherrie Lee
1,,1,"410/10 Trenerry Crescent, Abbotsford","$390,000-$425,000",Apartment,,,51m²,Keith Chan
1,1,1,"4/70 Edgar Street North, Glen Iris","$265,000 to $275,000",Apartment,,,,Mary Li
,,,,,,,,,
1,1,2,"201,203/19-21 High Street, Glen Iris","Private Sale: $550,000 - $605,000",Apartment,,,,Stefan Perera
1,1,3,"37 Cratloe Road, Mount Waverley","AUCTION  $1,500,000 - $1,600,000",House,Inspection Thu 18 Sep 3:00 pm,Inspection Thu 18 Sep,820m²,Nicholas Richards
1,1,2,"5/94 Gillies Street, Fairfield","$600,000 - $660,000",Apartment,Inspection Wed 17 Sep 2:45 pm,Inspection Wed 17 Sep,,Stephanie Lentini
2,1,3,"26 Milloo Crescent, Mount Waverley","$1,450,000 - $1,550,000",House,Inspection Thu 18 Sep 4:30 pm,Inspection Thu 18 Sep,,Naina Pandher
6,,5,"56 Hosken Street, Balwyn North",,House,Inspection Thu 18 Sep 11:15 am,Inspection Thu 18 Sep,"1,011m²",Suki Zhuang
,,,,,,,,,
2,2,3,"65b Armstrongs Road, Seaford","$950,000-$1,045,000",Townhouse,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,Daniel Keleher
2,,3,"1/173 Blackburn Road, Mount Waverley","$750,000 - $790,000",Unit,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,275m²,Alan Zhang
1,2,2,"308/12 High Street, Glen Iris","$590,000-$645,000",Apartment,,,,Rakesh Hooda
4,3,3,"401/65 Maitland Street, Glen Iris",,Apartment,,,,Matt Davis
1,1,1,"5/18 South Terrace, Clifton Hill",,Apartment,,,,Sonya Laferla
,,,,,,,,,
5,4,8,"1-4/27 Barcelona Street, Box Hill","$3,200,000-$3,500,000",Block of units,,,"1,555m²",Thai Tan
,,"2,007m²","25 Bryson Street, Canterbury",,Residential land,,,"2,007m²",Sophia Dong
2,2,4,"2/3 Johnstone Street, Seaford","$950,000 - $1,000,000",Townhouse,Inspection Thu 18 Sep 5:00 pm,Inspection Thu 18 Sep,,Max McLaughlin
2,3,4,"153 Ramsden Street, Clifton Hill","Private Sale $1,600,000",Townhouse,Inspection Wed 17 Sep 12:30 pm,Inspection Wed 17 Sep,,Roland Paterson
2,1,3,"4/2-4 Rosaline Avenue, Mount Waverley",,Townhouse,Inspection Wed 17 Sep 6:45 pm,Inspection Wed 17 Sep,,Vanessa Cao
,,,,,,,,,
1,1,2,"1/5 Maury Road, Chelsea","$595,000 -$650,000",Apartment,,,,Kristyn Buckley
1,2,2,"604/11 David Street, Richmond","$590,000-$640,000",Apartment,,,,Megha Dhingra
2,3,4,"1/200 Nepean Highway, Seaford",,Townhouse,,,,Danielle Scanlon
,1,1,"418/616 Glenferrie Road, Hawthorn","$220,000 - $240,000 Inspection by appointment only",Studio,,,23m²,James Yue
1,1,1,"302/64 Station Street, Fairfield",,Apartment,,,,Matthew Akritidis
,,,,,,,,,
,1,2,"703/9-11 Prospect Street, Box Hill","Asking $560,000",Apartment,,,88.1m²,Freeman Li 李
,,,,,,,,,
2,3,4,"2/31 Bentley Street, Surrey Hills",,Townhouse,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,,Leo Xu
2,2,4,"22 Sherwood Road, Mount Waverley","$2,200,000 - $2,420,000",House,,,754m²,Adrian Wood
5,5,5,"15 Scheele Street, Surrey Hills","$6,000,000 - $6,600,000",House,,,847m²,Jayme Lee
1,1,2,"1005/443 Upper Heidelberg Road, Ivanhoe","$575,000",Apartment,,,,Brad Pearce
,,,,,,,,,
3,2,4,"48 Brooke Street, Northcote","Private Sale $2,680,000",House,Inspection Sat 20 Sep 11:00 am,Inspection Sat 20 Sep,,Grant Leonard
1,1,1,"209/33 QUEENS PDE, Clifton Hill","$699,000",Apartment,,,90m²,Bryce Patterson
2,4,7,"4-5 Rogerson Court, Balwyn",,House,Inspection Thu 18 Sep 1:30 pm,Inspection Thu 18 Sep,960m²,Jie Zhang
2,2,5,"797 Burwood Road, Hawthorn East",,House,,,"1,153m²",Janssen Xiang
2,2,3,"3/108 Fortescue Avenue, Seaford","$840,000 - $920,000",Townhouse,,,215m²,James Stamatopoulos
,,,,,,,,,
2,3,3,"103/33 QUEENS PDE, Clifton Hill","$1,895,000",Apartment,,,138m²,Bryce Patterson
2,2,3,"2/76 Lechte Road, Mount Waverley","$1,050,000 - $1,150,000",Unit,Inspection Wed 17 Sep 5:00 pm,Inspection Wed 17 Sep,255m²,Peter Alamaras
1,1,2,"504/19  Poplar Street, Box Hill","$510,000 - $525,000",Apartment,,,75m²,Canwealth VIC
1,2,2,"205/33 QUEENS PDE, Clifton Hill","$1,200,000",Apartment,,,97m²,Bryce Patterson
2,2,3,"302/65 Stawell Street, Richmond","$1,795,000",Apartment,,,,Sebastian Scanlon
,,,,,,,,,
5,,7,"355 Belmore Road, Balwyn North",,House,Inspection Thu 18 Sep 5:15 pm,Inspection Thu 18 Sep,,Sandra Sutikno
2,2,2,"3/257 Gillies Street, Fairfield","$870,000 - $930,000",Apartment,,,,Justin Mellar
,1,1,"805/615 Victoria Street, Abbotsford","$350,000 - $380,000",Apartment,,,,Simon Polinelli
1,1,1,"5/57 Station Street, Fairfield","$459,000",Apartment,,,,Justin Mellar
1,1,1,"207/61 Stawell Street, Richmond","$460,000",Apartment,,,,Andrew McCalman
,,,,,,,,,
1,,1,"104/205 Burnley Street, Richmond","$450,000",Apartment,,,,William Feng
2,4,4,"1/2 Julie Court, Ashwood",,Townhouse,,,,Michael Wang
2,1,2,"58 Aylmer Street, Balwyn North","$1,800,000",House,,,625m²,Janssen Xiang
2,2,3,"12 Morton Street, Box Hill South","$1,500,000 - $1,550,000",House,,,537m²,Lydia Yu
2,3,4,"1C Leonard Street, Ashwood","$1,630,000",Townhouse,,,206m²,Elaine Qian
,,,,,,,,,
,1,3,"59 Tanner Street, Richmond","$995,000",House,Inspection Wed 17 Sep 1:00 pm,Inspection Wed 17 Sep,,Daniel Atsis
,,,,,,,,,
4,2,3,"275 Station Street, Fairfield","$1,800,000 to $1,900,000",House,Inspection Wed 17 Sep 1:00 pm,Inspection Wed 17 Sep,786m²,Jane Skinner
1,1,1,"711/850 Whitehorse Road, Box Hill","$435,000",Apartment,,,68m²,Hugh Weng
1,1,1,"3/41 Morang Road, Hawthorn","$460,000",Apartment,,,,Charlie Richardson
2,5,5,"10 Jubilee Street, Mount Waverley",,House,Inspection Thu 18 Sep 2:00 pm,Inspection Thu 18 Sep,749m²,Eric Li
,,,,,,,,,
1,1,2,"615/14 David Street, Richmond","Expressions of Interest $530,000-$570,000",Unit,,,,Corene Chan
2,3,4,"42 Park Lane, Mount Waverley","$2,050,000-$2,150,000",House,Inspection Wed 17 Sep 5:00 pm,Inspection Wed 17 Sep,719m²,Leon Li
2,,4,"2 Union Road, Surrey Hills","$2,780,000",House,Inspection Sat 20 Sep 12:15 pm,Inspection Sat 20 Sep,,Robert Ding
4,3,5,"303 Blackburn Road, Mount Waverley","THE BEST  $2,800,000-$2,980,000",House,,,730m²,Eddie Fu
2,,3,"102/1 Old Heidelberg Road, Alphington","$1,400,000 - $1,500,000",Apartment,,,176m²,Josh Saunders
,,,,,,,,,
1,1,2,"2/17 Glencairn Avenue, Camberwell","$970,000",Unit,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,,Liam Burke
1,1,2,"4/31 Barnsbury Road, Deepdene",,Unit,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,Sue Wooldridge
2,2,4,"36 Damon Road, Mount Waverley",,House,Inspection Thu 18 Sep 1:30 pm,Inspection Thu 18 Sep,398m²,Steven Yang
2,2,3,"9 Paterson Street, Hawthorn","$1,400,000 - $1,540,000",House,Inspection Thu 18 Sep 11:45 am,Inspection Thu 18 Sep,,Davide Lettieri
2,2,3,"13/200-203 Nepean Highway, Seaford","$780,000-$830,000",Townhouse,Inspection Thu 18 Sep 5:00 pm,Inspection Thu 18 Sep,,Daniel Keleher
,,,,,,,,,
2,2,4,"20 Doncaster Road, Balwyn North","Private sale $2,395,000",House,Inspection Thu 18 Sep 12:30 pm,Inspection Thu 18 Sep,"1,117m²",Walter Dodich
2,2,3,"303/6 Butler Street, Camberwell","$1,195,000 - $1,295,000",Apartment,Inspection Thu 18 Sep 5:00 pm,Inspection Thu 18 Sep,,Kate Hurburgh
2,2,3,"902/8 Breavington Way, Northcote","$1,100,000- $1,200,000",Apartment,,,,Lisa Devola
1,2,2,"2301/850 Whitehorse Road, Box Hill",On Hold With Lease at $750pw,Apartment,,,77m²,Kobe Li
3,2,4,"2a Georgian Court, Balwyn",,House,,,,Nick Ptak
,,,,,,,,,
1,,1,"102/360 Burnley Street, Richmond","$400,000 - $440,000",Apartment,,,,Adrian De Zilwa
1,2,2,"LG02/28-34 Boisdale Street, Surrey Hills","$585,000 - $635,000",Apartment,Inspection Sat 20 Sep 12:15 pm,Inspection Sat 20 Sep,,Gilbert Ng
2,,3,"15 Boyd Street, Richmond","$1,650,000",House,Inspection Wed 17 Sep 12:00 pm,Inspection Wed 17 Sep,156m²,Luke Schickerling
3,,4,"1 Napier Court, Mount Waverley",,House,Inspection Wed 17 Sep 12:00 pm,Inspection Wed 17 Sep,948m²,Steve Hatzi
2,2,3,"18 North Shore Drive, Patterson Lakes","$1,250,000 - $1,350,000",House,,,,Michael Marziale
,,,,,,,,,
2,2,3,"2/229 Nepean Highway, Seaford","$990,000 - $1,085,000",House,,,,Dean Bozunovic
,,,,,,,,,
,1,2,"65 Type Street, Richmond","EOI $1,050,000 - $1,150,000",House,Inspection Wed 17 Sep 12:00 pm,Inspection Wed 17 Sep,198m²,Cameron Ingram
2,3,4,"2/108 High Street Road, Ashwood",,Townhouse,Inspection Thu 18 Sep 2:00 pm,Inspection Thu 18 Sep,,Joy Zhang
2,2,3,"UGC03/708 Burwood Road, Hawthorn East","$1,350,000 - $1,430,000",Apartment,,,,Nora Li
1,2,2,"G04/414-416 Auburn Road, Hawthorn","$650,000 - $700,000",Apartment,,,,Mark Read
,,,,,,,,,
2,2,3,"3/199 Nepean Highway, Seaford","$740,000 - $810,000",Townhouse,Inspection tomorrow 4:00 pm,Inspection tomorrow,213m²,George Devic
2,2,4,"17 Bainbridge Avenue, Seaford","$885,000 - $969,000 - ONLY 1 TO BE SOLD!",Townhouse,,,,Aarryn Cooper
2,2,3,"G02/363-365 High Street, Ashburton",,Apartment,Inspection Wed 17 Sep 1:30 pm,Inspection Wed 17 Sep,,Simon Curtain
3,,6,"2 Thurston Street, Box Hill","$2,700,000",House,,,587m²,Ming Chen
2,,4,"1/23 Pippin Avenue, Burwood East","$1,150,000 - $1,250,000",Townhouse,,,237m²,Ripple Wu
,,,,,,,,,
1,2,2,"306/88 Trenerry Crescent, Abbotsford","$720,000 - $770,000",Apartment,Inspection Wed 17 Sep 11:00 am,Inspection Wed 17 Sep,,Daniel Finlayson
2,6,6,"12 Westfield Street, Northcote","SALE $3,500,000 - $3,800,000",House,,,458m²,John Catanzariti
2,,4,"20 Leicester Street, Balwyn North","PRIVATE SALE: $2,100,000 - $2,300,000",House,Inspection Sat 20 Sep 2:45 pm,Inspection Sat 20 Sep,,Arthur Korf
,1,2,"29 Fraser Street, Richmond","$1,430,000",House,Inspection Wed 17 Sep 12:15 pm,Inspection Wed 17 Sep,,Daniel Atsis
1,1,1,"3/3 Jessie Street, Northcote",,Apartment,,,,Denise Kriaris
,,,,,,,,,
4,4,6,"1A Palm Grove, Deepdene","$5,500,000 - $5,950,000",House,,,767m²,David Wu
2,2,3,"4/64 Coast Banksia Drive, Bonbeach","$990,000 - $1,049,000",Townhouse,,,153m²,Nicola Stacey
4,2,5,"199 Gladesville Boulevard, Patterson Lakes","$2,700,000 - $2,800,000",House,,,915m²,Justin Maher
1,2,3,"6/102 Camberwell Road, Hawthorn East","$770,000",Apartment,Inspection Wed 17 Sep 12:30 pm,Inspection Wed 17 Sep,,Ryan Khoo
2,3,4,"17 Madeline Street, Glen Iris","$1,500,000 - $1,600,000",Townhouse,Inspection Thu 18 Sep 4:30 pm,Inspection Thu 18 Sep,,Danae Feng
,,,,,,,,,
1,2,2,"3/152 Grange Road, Alphington","Private Sale $900,000",Townhouse,,,,Brian Te
2,2,3,"102/7 Riversdale Road, Hawthorn","$930,000 - $970,000",Apartment,Inspection Thu 18 Sep 4:00 pm,Inspection Thu 18 Sep,,Max Martinucci
2,2,3,"32 Range Road, Burwood East","$1,040,000 - $1,070,000",House,,,,Jason Yu
2,3,4,"1/36 Ruby Street, Burwood East","Auction | $1,250,000 - $1,350,000",Townhouse,Inspection Thu 18 Sep 5:00 pm,Inspection Thu 18 Sep,,Jack Zhang
2,,3,"1/427 Tooronga Road, Hawthorn East","$1,850,000",House,Inspection Wed 17 Sep 11:30 am,Inspection Wed 17 Sep,,Lachie Fraser-Smith
,,,,,,,,,
1,1,2,"101/19-21 Poplar Street, Box Hill","$415,000 - $430,000",Apartment,Inspection Wed 17 Sep 2:45 pm,Inspection Wed 17 Sep,65m²,Ginny Xia
,,,,,,,,,
3,,3,"3/14 Bright Street, Camberwell","$ 1,300,000 - 1,350,000 Vendor Says to Sell",Townhouse,Inspection Sat 20 Sep 11:00 am,Inspection Sat 20 Sep,,Fred Liu
1,1,1,"366 Nepean Highway, Chelsea","$900,000 - $990,000",House,,,518m²,Kristyn Buckley
1,1,1,"801/1 Porter Street, Hawthorn East","$395,000 - $435,000",Apartment,,,,Virginia D'Ore
2,2,3,"41 Lyndhurst Street, Richmond","$2,750,000",House,Inspection Sat 20 Sep 10:00 am,Inspection Sat 20 Sep,,Nikki McCarthy
,,,,,,,,,
2,3,4,"40 Martin Road, Glen Iris","$2,580,000",House,Inspection Thu 18 Sep 11:00 am,Inspection Thu 18 Sep,233m²,Zali Reynolds
3,,4,"1/55 Amber Grove, Mount Waverley",,Townhouse,Inspection Thu 18 Sep 1:30 pm,Inspection Thu 18 Sep,,Jimmy Zhang
2,2,3,"3/23 Barry Street, Seaford","$750,000-$790,000",Townhouse,,,,Daniel Keleher
2,2,3,"16 Stocks Road, Mount Waverley",,House,Inspection Sat 20 Sep 1:30 pm,Inspection Sat 20 Sep,725m²,Stephen Huang
2,3,4,"2/13 White Street, Mount Waverley",,Townhouse,Inspection Thu 18 Sep 2:30 pm,Inspection Thu 18 Sep,,Jimmy Zhang
,,,,,,,,,
2,3,4,"9 Bicton Street, Mount Waverley",,House,Inspection Thu 18 Sep 5:00 pm,Inspection Thu 18 Sep,,Costa Calaitzis
2,3,4,"5/215 Highfield Road, Camberwell","Auction this Saturday | $1,500,000 - $1,600,000",Townhouse,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,Ripple Wu
2,2,3,"3/1 Old Heidelberg Road, Alphington","$1,200,000 - $1,300,000",Apartment,Inspection Thu 18 Sep 1:45 pm,Inspection Thu 18 Sep,,Josh Saunders
,,"1,510m²","26 Raynes Street, Balwyn",,Residential land,,,"1,510m²",Helen Yan
2,1,2,"10/17-21 Claude Street, Seaford","$440,000 - $470,000",Townhouse,,,,Botany Park
,,,,,,,,,
1,2,2,"213/1101 Toorak Road, Camberwell","$430,000 - $455,000",Apartment,,,,Stasi Adgemis
6,5,5,"24 Willis Street, Balwyn North","$7,500,000 - $7,800,000",House,,,715m²,Tim Yu
1,1,2,"36/154-164 Rathmines Road, Hawthorn East","EOI $680,000 - $740,000",Apartment,,,,Nick Whyte
2,,3,"15 Franklin Avenue, Chelsea","$1,825,000-$1,925,000",House,,,,Daniel Wright
3,1,3,"227 Clarke Street, Northcote","Private Sale $2,700,000",House,,,,Tom Alexiadis
,,,,,,,,,
1,1,1,"1/114 Helen Street, Northcote","$399,000",Apartment,,,,Justin Sciola
2,2,2,"1404C/45 Linden Avenue, Ivanhoe","$790,000 - $830,000",Apartment,,,75m²,Anthony Lu
1,1,2,"2/16 Lithgow Street, Glen Iris",,Unit,,,,Jordan Kamaretsos
1,1,2,"3/30 Magnolia Road, Ivanhoe","$480,000 - $510,000",Apartment,Inspection Thu 18 Sep 10:15 am,Inspection Thu 18 Sep,,Khom Falla
3,5,4,"49 Shiers Street, Alphington","$4,000,000 - $4,400,000",House,,,,Sam Rigopoulos
,,,,,,,,,
1,1,2,"Address available on request, Box Hill","$580,420",Apartment,,,,Poonam Bhansali
,,,,,,,,,
2,1,2,"7 Conway Crescent, Balwyn","$1,750,000",House,,,711m²,Nick Fletcher
1,1,2,"143 Burnley Street, Richmond",,House,,,,Jess Cleland
1,2,2,"2710/3 Young Street, Box Hill","$580,000- 620,000",Apartment,,,72m²,Daniel Wang
1,1,1,"309/154 Elgar Road, Box Hill South","$279,000",Apartment,,,,David Picking
,,,,,,,,,
1,1,1,"203R/88 Trenerry Crescent, Abbotsford","Private Sale $480,000",Apartment,,,,Thomas Hodges
2,3,3,"8/13 Oxford Street, Box Hill",,Unit,Inspection Sat 20 Sep 3:30 pm,Inspection Sat 20 Sep,,Juliette Zhou
1,1,2,"3205/850 Whitehorse Road, Box Hill","$480,000 - $528,000",Apartment,,,,Frank Pang
6,2,3,"6 Middleborough Road, Burwood East",,House,,,865m²,Connor Sun
2,3,4,"4/22 Adrienne Crescent, Mount Waverley",AUCTION THIS SATURDAY $1M-$1.1M,Townhouse,Inspection Wed 17 Sep 4:30 pm,Inspection Wed 17 Sep,220m²,Sergey Martynov
,,,,,,,,,
1,1,2,"12/37 Grange Road, Fairfield","$519,000",Apartment,Inspection Sat 20 Sep 10:00 am,Inspection Sat 20 Sep,,Brad Pearce
2,,3,"43 Bellett Street, Camberwell",,House,,,956m²,Sam Christensen
1,1,2,"1613/828 Whitehorse Road, Box Hill",,Apartment,,,,William Shen
2,3,4,"14 Peate Avenue, Glen Iris",,House,,,503m²,Daniel Wheeler
1,1,2,"4/20 Mayston Street, Hawthorn East","$750,000",Apartment,,,,Zali Reynolds
,,,,,,,,,
2,2,2,"605/631 Victoria Street, Abbotsford","$995,000 - $1,050,000",Apartment,Inspection Sat 20 Sep 11:00 am,Inspection Sat 20 Sep,,Rod Adkins
1,,3,"30 Myrtle Street, Clifton Hill",,House,,,,Steve Earl
