web-scraper-order,web-scraper-start-url,pagination-selector,image-src,data,data2,data3,data4,data5,data6,position,position2,data7,position3,data8,price,image2-src,image3-src,name
"1758100712-11","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 18 Oct","10:30 am","Added 4 hours ago","","","2","2","Townhouse","3","6/635 Nepean Highway, Carrum","$950,000 - $1,045,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/327b038e8f5a6503e1d8ca3bb93b63f6f900549e71ee5065cb554e97cb74ce88/main.jpg","Garry Donovan"
"1758100712-12","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","2 offers available","","","2","2","","2","5 Stawell Street, Kew","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","",""
"1758100712-13","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","11:00 am","Added 7 hours ago","Inspection Sat 20 Sep 10:30 am","Inspection Sat 20 Sep","2","1","Unit","3","1/78 Robinlee Avenue, Burwood","$760,000 - $820,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/fa9dc56a41dfc9704fd92dce9060178447c331bb5c86812c534f9b87a1747697/main.jpg","Steve Dardamanis"
"1758100712-14","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
"1758100712-15","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","1","1","","1","155 Warrigal Road, Burwood","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","",""
"1758100712-16","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","Sold 13 Sep 2025","","","2","2","","$1,692,000","","","","",""
"1758100712-17","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","4:00 pm","Added 9 hours ago","Inspection Sat 20 Sep 3:00 pm","Inspection Sat 20 Sep","1","1","House","3","8 Andrews Street, Burwood","$1,150,000 - $1,250,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/ec89b5b2ff7997ff19924076d414fa16f115d70028cf5c2e81711f8f53d64a02/main.jpg","Luke Banitsiotis"
"1758100712-18","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","2","2","","2","378 Cotham Road, Kew","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","",""
"1758100712-19","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","2","2","","2","85 Studley Rark Rd, Kew","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","",""
"1758100712-20","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 20 Sep","11:00 am","","Inspection tomorrow 10:00 am","Inspection tomorrow","3","2","Unit","3","1/74 Walpole Street, Kew","$1,600,000 - $1,750,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/582e13930c2d266840d22d0d612125a08b1d8af123d609fe242e2b342ec5e3db/main.jpg","Richard Winneke"
"1758100712-21","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
"1758100712-22","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 27 Sep","1:00 pm","","Inspection tomorrow 12:00 pm","Inspection tomorrow","2","","Townhouse","3","1/427 Warrigal Road, Burwood","Auction $850,000-$930,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/c424a3780bcc763452bc134439816da8ba86dc5b15cbaa549307648971362c54/main.jpg","Hans Liu"
"1758100712-23","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","3:30 pm","Added yesterday","Inspection Sat 20 Sep 12:30 pm","Inspection Sat 20 Sep","2","2","Townhouse","3","1/71 Wellington Street, Kew","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/f8bc73e75d0da62087268c67c7111f700081a210047abc865736b0cc58f82e99/main.jpg","Lloyd Lawton"
"1758100712-24","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","","Inspection tomorrow 12:30 pm","Inspection tomorrow","1","1","Unit","2","1/14-16 Somers Street, Burwood","$698,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/50e54f0d985b6b533e2f356cebfa1170bae89c1cb6dae42346506a2eeaa67eef/main.jpg","BRENDAN CAIN"
"1758100712-25","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","11:00 am","Added yesterday","Inspection tomorrow 1:00 pm","Inspection tomorrow","1","1","House","3","17 Scott Street, Kew","$1,600,000 - $1,750,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/98ecb6c67a907f8d224fc2d7c1076abfd4dd1e7a70a87c14aa82638a39b4f7a2/main.jpg","Patrick Dennis"
"1758100712-26","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","","Inspection tomorrow 11:30 am","Inspection tomorrow","2","2","Apartment","3","202/4 Barenya Court, Kew","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/e457d2c853bd95bbcf52ad2b41af0b648042ae06af62ba24d94a0fa9c56535b8/main.jpg","Scarlett Hang"
"1758100712-27","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
"1758100712-28","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","1:00 pm","Added yesterday","Inspection tomorrow 5:00 pm","Inspection tomorrow","2","1","Unit","3","7/33 Mcintyre Street, Burwood","AUCTION $750,000 - $820,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/81980340c960ec7b2638467820370068a6510c10ff9f3fecd0b007e154736a85/main.jpg","Cain Wang"
"1758100712-29","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","1","1","","1","100 Station Street, Burwood","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","",""
"1758100712-30","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","1:00 pm","Added 2 days ago","Inspection tomorrow 4:00 pm","Inspection tomorrow","2","3","House","3","2B Eyre Street, Burwood","Auction $1,000,000 - $1,100,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/c424a3780bcc763452bc134439816da8ba86dc5b15cbaa549307648971362c54/main.jpg","Hans Liu"
"1758100712-31","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","11:30 am","Added yesterday","Inspection tomorrow 2:15 pm","Inspection tomorrow","1","1","Apartment","3","2/107 Walpole Street, Kew","$800,000 - $880,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/8fbcfe7147508ae851375381e30618a6a978015c60034d92f04ecee8d83f378a/main.jpg","Danny See"
"1758100712-32","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","Added yesterday","Inspection Sat 20 Sep 10:00 am","Inspection Sat 20 Sep","2","1","Apartment","2","134 Wiltshire Drive, Kew","$830,000 - $850,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/f736f3c4b23eb4d48d2d9c3c599675d361b4c248758038d22fc97aaa3f858436/main.jpg","Shawn White"
"1758100712-33","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
